aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Alternative Modes,Alternative Mode,Taxi or Rideshare Company,0.41728057251105,7833
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Reduced Fares,Transportation Access Pass (TAP),0.0178652267421064,7834
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Vehicles,Cars per Capita,0,0.459142279002105,7835
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.547231121281465,7836
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Race,Black or African American,0.147084236424345,7837
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Alternative Modes,Alternative Mode,Walk,0.150126289202273,7838
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Reduced Fares,Blind Access CharlieCard,0.000170689243163896,7839
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Vehicles,Cars per Capita,Strictly between 0 and 0.5,0.268795654327102,7840
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Trip Purpose and Frequency,Trip Purpose,Home-based School,0.113748431387023,7841
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Race,Middle Eastern or North African,0.0375929939663757,7842
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Alternative Modes,Alternative Mode,Drive or Ride in a Carpool,0.0895600926120817,7843
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Reduced Fares,Other Reduced or Free Fare,0.00260931903897503,7844
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Vehicles,Cars per Capita,0.5,0.153793661786554,7845
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Trip Purpose and Frequency,Trip Purpose,Home-based Social Activity,0.165734110873256,7846
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Race,Native Hawaiian or other Pacific Islander,0.00660476832054361,7847
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Alternative Modes,Alternative Mode,"Bike, Scooter, or Other Micromobility",0.0263102504735845,7848
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Vehicles,Cars per Capita,Strictly between 0.5 and 1,0.0356031207440882,7849
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Income,Household Income,Less than 40% of Area Median Income,0.127506618235995,7850
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Vehicles,Cars per Capita,1 or more,0.0668037908567537,7851
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.124508747324131,7852
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Race,White,0.556880089039892,7853
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Income,Household Income,30% to 60% of Area Median Income,0.274644244808168,7854
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Vehicles,Usable Cars,0,0.459849004804393,7855
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0.0675121027152178,7856
